podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
900,0.2,0.4,4,4,1.0,0.10,2.0,6956242,0.318,7357609,0.300,4729334,0.475
900,0.2,0.4,4,4,1.0,0.10,2.0,4248964,0.330,4941525,0.284,1523246,0.659
900,0.2,0.4,4,4,1.0,0.10,2.0,5153920,0.328,5532727,0.306,2367160,0.616
900,0.2,0.4,4,4,1.0,0.10,2.0,7829136,0.178,7339026,0.190,1509878,0.715
900,0.2,0.4,4,4,1.0,0.10,2.0,3781900,0.304,4237011,0.272,1410691,0.652
900,0.2,0.4,4,4,1.0,0.10,2.0,6003439,0.441,5767305,0.459,3811500,0.735
900,0.2,0.4,4,4,1.0,0.10,2.0,4237597,0.400,4422987,0.384,2127489,0.704
900,0.2,0.4,4,4,1.0,0.10,2.0,6843122,0.233,6543879,0.243,2077270,0.666
900,0.2,0.4,4,4,1.0,0.50,0.1,3671602,0.328,3711538,0.324,2407718,0.666
900,0.2,0.4,4,4,1.0,0.50,0.1,6293088,0.232,7018738,0.208,2725397,0.674
900,0.2,0.4,4,4,1.0,0.50,0.1,7740132,0.286,7769546,0.285,7076909,0.469
900,0.2,0.4,4,4,1.0,0.50,0.1,5527995,0.254,6039887,0.232,2482056,0.645
900,0.2,0.4,4,4,1.0,0.50,0.1,5124532,0.330,5203507,0.325,3679688,0.601
900,0.2,0.4,4,4,1.0,0.50,0.1,5459396,0.255,4685671,0.297,2424765,0.710
900,0.2,0.4,4,4,1.0,0.50,0.1,3598997,0.320,3683923,0.312,2261329,0.629
900,0.2,0.4,4,4,1.0,0.50,0.1,5359766,0.494,5361090,0.494,5448619,0.737
900,0.2,0.4,4,4,1.0,0.50,0.1,4371948,0.388,4407827,0.385,3226088,0.713
900,0.2,0.4,4,4,1.0,0.50,0.1,6252017,0.255,6444255,0.247,3275816,0.631
900,0.2,0.4,4,4,1.0,0.50,0.5,3273379,0.368,3297665,0.365,2203465,0.674
900,0.2,0.4,4,4,1.0,0.50,0.5,7734202,0.189,8021895,0.182,2642479,0.638
900,0.2,0.4,4,4,1.0,0.50,0.5,8248024,0.268,7692924,0.287,7771261,0.449
900,0.2,0.4,4,4,1.0,0.50,0.5,5073947,0.276,5587961,0.251,2315077,0.646
900,0.2,0.4,4,4,1.0,0.50,0.5,5667141,0.298,5570029,0.303,3164775,0.640
900,0.2,0.4,4,4,1.0,0.50,0.5,7123192,0.196,6117076,0.228,2138864,0.715
900,0.2,0.4,4,4,1.0,0.50,0.5,3617121,0.318,4121274,0.279,1973111,0.646
900,0.2,0.4,4,4,1.0,0.50,0.5,5831226,0.454,5522557,0.480,4994499,0.738
900,0.2,0.4,4,4,1.0,0.50,0.5,4236643,0.400,4210747,0.403,3035956,0.707
900,0.2,0.4,4,4,1.0,0.50,0.5,5232648,0.304,5398331,0.295,3109797,0.637
900,0.2,0.4,4,4,1.0,0.50,1.0,3262769,0.369,3341032,0.360,1992897,0.651
900,0.2,0.4,4,4,1.0,0.50,1.0,8086877,0.180,7960913,0.183,2195885,0.665
900,0.2,0.4,4,4,1.0,0.50,1.0,7360342,0.300,7276001,0.304,5619028,0.478
900,0.2,0.4,4,4,1.0,0.50,1.0,4965237,0.283,5448870,0.257,2031263,0.649
900,0.2,0.4,4,4,1.0,0.50,1.0,5966392,0.283,6123645,0.276,2789980,0.631
900,0.2,0.4,4,4,1.0,0.50,1.0,6588693,0.212,6446730,0.216,1836583,0.725
900,0.2,0.4,4,4,1.0,0.50,1.0,3437842,0.335,3549387,0.324,1846179,0.640
900,0.2,0.4,4,4,1.0,0.50,1.0,6656656,0.398,6366744,0.416,4598341,0.734
900,0.2,0.4,4,4,1.0,0.50,1.0,4154838,0.408,4200324,0.404,2730174,0.686
900,0.2,0.4,4,4,1.0,0.50,1.0,6320293,0.252,6503096,0.245,2697849,0.646
900,0.2,0.4,4,4,1.0,0.50,2.0,3175316,0.379,3385145,0.356,1593930,0.686
900,0.2,0.4,4,4,1.0,0.50,2.0,7408955,0.197,6819583,0.214,1700984,0.667
900,0.2,0.4,4,4,1.0,0.50,2.0,6956242,0.318,7357609,0.300,4729334,0.475
900,0.2,0.4,4,4,1.0,0.50,2.0,4248964,0.330,4941525,0.284,1523246,0.659
900,0.2,0.4,4,4,1.0,0.50,2.0,5153920,0.328,5532727,0.306,2367160,0.616
900,0.2,0.4,4,4,1.0,0.50,2.0,7829136,0.178,7339026,0.190,1509878,0.715
900,0.2,0.4,4,4,1.0,0.50,2.0,3781900,0.304,4237011,0.272,1410691,0.652
900,0.2,0.4,4,4,1.0,0.50,2.0,6003439,0.441,5767305,0.459,3811500,0.735
900,0.2,0.4,4,4,1.0,0.50,2.0,4237597,0.400,4422987,0.384,2127489,0.704
900,0.2,0.4,4,4,1.0,0.50,2.0,6843122,0.233,6543879,0.243,2077270,0.666
900,0.2,0.4,4,4,5.0,0.01,0.1,3671602,0.328,3711538,0.324,1180965,0.694
900,0.2,0.4,4,4,5.0,0.01,0.1,6293088,0.232,7018738,0.208,1483726,0.657
900,0.2,0.4,4,4,5.0,0.01,0.1,7740132,0.286,7769546,0.285,4258115,0.472
900,0.2,0.4,4,4,5.0,0.01,0.1,5527995,0.254,6039887,0.232,1191178,0.669
900,0.2,0.4,4,4,5.0,0.01,0.1,5124532,0.330,5203507,0.325,1864163,0.628
900,0.2,0.4,4,4,5.0,0.01,0.1,5459396,0.255,4685671,0.297,1211900,0.729
900,0.2,0.4,4,4,5.0,0.01,0.1,3598997,0.320,3683923,0.312,1126537,0.667
900,0.2,0.4,4,4,5.0,0.01,0.1,5359766,0.494,5361090,0.494,3001097,0.746
900,0.2,0.4,4,4,5.0,0.01,0.1,4371948,0.388,4407827,0.385,1810369,0.681
900,0.2,0.4,4,4,5.0,0.01,0.1,6252017,0.255,6444255,0.247,1891775,0.626
900,0.2,0.4,4,4,5.0,0.01,0.5,3273379,0.368,3297665,0.365,1058858,0.669
900,0.2,0.4,4,4,5.0,0.01,0.5,7734202,0.189,8021895,0.182,1221335,0.672
900,0.2,0.4,4,4,5.0,0.01,0.5,8248024,0.268,7692924,0.287,3225857,0.494
900,0.2,0.4,4,4,5.0,0.01,0.5,5073947,0.276,5587961,0.251,1031514,0.657
900,0.2,0.4,4,4,5.0,0.01,0.5,5667141,0.298,5570029,0.303,1724172,0.636
900,0.2,0.4,4,4,5.0,0.01,0.5,7123192,0.196,6117076,0.228,1110304,0.716
900,0.2,0.4,4,4,5.0,0.01,0.5,3617121,0.318,4121274,0.279,998368,0.647
900,0.2,0.4,4,4,5.0,0.01,0.5,5831226,0.454,5522557,0.480,2773720,0.743
900,0.2,0.4,4,4,5.0,0.01,0.5,4236643,0.400,4210747,0.403,1575962,0.701
900,0.2,0.4,4,4,5.0,0.01,0.5,5232648,0.304,5398331,0.295,1682910,0.620
900,0.2,0.4,4,4,5.0,0.01,1.0,3262769,0.369,3341032,0.360,895950,0.702
900,0.2,0.4,4,4,5.0,0.01,1.0,8086877,0.180,7960913,0.183,1144731,0.655
900,0.2,0.4,4,4,5.0,0.01,1.0,7360342,0.300,7276001,0.304,3060879,0.475
900,0.2,0.4,4,4,5.0,0.01,1.0,4965237,0.283,5448870,0.257,901880,0.634
900,0.2,0.4,4,4,5.0,0.01,1.0,5966392,0.283,6123645,0.276,1658775,0.632
900,0.2,0.4,4,4,5.0,0.01,1.0,6588693,0.212,6446730,0.216,974011,0.714
900,0.2,0.4,4,4,5.0,0.01,1.0,3437842,0.335,3549387,0.324,811971,0.669
900,0.2,0.4,4,4,5.0,0.01,1.0,6656656,0.398,6366744,0.416,2680767,0.737
900,0.2,0.4,4,4,5.0,0.01,1.0,4154838,0.408,4200324,0.404,1347078,0.700
900,0.2,0.4,4,4,5.0,0.01,1.0,6320293,0.252,6503096,0.245,1427734,0.648
900,0.2,0.4,4,4,5.0,0.01,2.0,3175316,0.379,3385145,0.356,737352,0.668
900,0.2,0.4,4,4,5.0,0.01,2.0,7408955,0.197,6819583,0.214,891878,0.638
900,0.2,0.4,4,4,5.0,0.01,2.0,6956242,0.318,7357609,0.300,2642601,0.473
900,0.2,0.4,4,4,5.0,0.01,2.0,4248964,0.330,4941525,0.284,678640,0.659
900,0.2,0.4,4,4,5.0,0.01,2.0,5153920,0.328,5532727,0.306,1221433,0.668
900,0.2,0.4,4,4,5.0,0.01,2.0,7829136,0.178,7339026,0.190,796777,0.723
900,0.2,0.4,4,4,5.0,0.01,2.0,3781900,0.304,4237011,0.272,638513,0.671
900,0.2,0.4,4,4,5.0,0.01,2.0,6003439,0.441,5767305,0.459,2419651,0.732
900,0.2,0.4,4,4,5.0,0.01,2.0,4237597,0.400,4422987,0.384,1050717,0.709
900,0.2,0.4,4,4,5.0,0.01,2.0,6843122,0.233,6543879,0.243,1115820,0.637
900,0.2,0.4,4,4,5.0,0.05,0.1,3671602,0.328,3711538,0.324,1180965,0.694
900,0.2,0.4,4,4,5.0,0.05,0.1,6293088,0.232,7018738,0.208,1483726,0.657
900,0.2,0.4,4,4,5.0,0.05,0.1,7740132,0.286,7769546,0.285,4258115,0.472
900,0.2,0.4,4,4,5.0,0.05,0.1,5527995,0.254,6039887,0.232,1191178,0.669
900,0.2,0.4,4,4,5.0,0.05,0.1,5124532,0.330,5203507,0.325,1864163,0.628
900,0.2,0.4,4,4,5.0,0.05,0.1,5459396,0.255,4685671,0.297,1211900,0.729
900,0.2,0.4,4,4,5.0,0.05,0.1,3598997,0.320,3683923,0.312,1126537,0.667
900,0.2,0.4,4,4,5.0,0.05,0.1,5359766,0.494,5361090,0.494,3001097,0.746
900,0.2,0.4,4,4,5.0,0.05,0.1,4371948,0.388,4407827,0.385,1810369,0.681
900,0.2,0.4,4,4,5.0,0.05,0.1,6252017,0.255,6444255,0.247,1891775,0.626
900,0.2,0.4,4,4,5.0,0.05,0.5,3273379,0.368,3297665,0.365,1058858,0.669
900,0.2,0.4,4,4,5.0,0.05,0.5,7734202,0.189,8021895,0.182,1221335,0.672
900,0.2,0.4,4,4,5.0,0.05,0.5,8248024,0.268,7692924,0.287,3225857,0.494
900,0.2,0.4,4,4,5.0,0.05,0.5,5073947,0.276,5587961,0.251,1031514,0.657
900,0.2,0.4,4,4,5.0,0.05,0.5,5667141,0.298,5570029,0.303,1724172,0.636
900,0.2,0.4,4,4,5.0,0.05,0.5,7123192,0.196,6117076,0.228,1110304,0.716
900,0.2,0.4,4,4,5.0,0.05,0.5,3617121,0.318,4121274,0.279,998368,0.647
900,0.2,0.4,4,4,5.0,0.05,0.5,5831226,0.454,5522557,0.480,2773720,0.743
900,0.2,0.4,4,4,5.0,0.05,0.5,4236643,0.400,4210747,0.403,1575962,0.701
900,0.2,0.4,4,4,5.0,0.05,0.5,5232648,0.304,5398331,0.295,1682910,0.620
900,0.2,0.4,4,4,5.0,0.05,1.0,3262769,0.369,3341032,0.360,895950,0.702
900,0.2,0.4,4,4,5.0,0.05,1.0,8086877,0.180,7960913,0.183,1144731,0.655
900,0.2,0.4,4,4,5.0,0.05,1.0,7360342,0.300,7276001,0.304,3060879,0.475
900,0.2,0.4,4,4,5.0,0.05,1.0,4965237,0.283,5448870,0.257,901880,0.634
900,0.2,0.4,4,4,5.0,0.05,1.0,5966392,0.283,6123645,0.276,1658775,0.632
900,0.2,0.4,4,4,5.0,0.05,1.0,6588693,0.212,6446730,0.216,974011,0.714
900,0.2,0.4,4,4,5.0,0.05,1.0,3437842,0.335,3549387,0.324,811971,0.669
900,0.2,0.4,4,4,5.0,0.05,1.0,6656656,0.398,6366744,0.416,2680767,0.737
900,0.2,0.4,4,4,5.0,0.05,1.0,4154838,0.408,4200324,0.404,1347078,0.700
900,0.2,0.4,4,4,5.0,0.05,1.0,6320293,0.252,6503096,0.245,1427734,0.648
900,0.2,0.4,4,4,5.0,0.05,2.0,3175316,0.379,3385145,0.356,737352,0.668
900,0.2,0.4,4,4,5.0,0.05,2.0,7408955,0.197,6819583,0.214,891878,0.638
900,0.2,0.4,4,4,5.0,0.05,2.0,6956242,0.318,7357609,0.300,2642601,0.473
900,0.2,0.4,4,4,5.0,0.05,2.0,4248964,0.330,4941525,0.284,678640,0.659
900,0.2,0.4,4,4,5.0,0.05,2.0,5153920,0.328,5532727,0.306,1221433,0.668
900,0.2,0.4,4,4,5.0,0.05,2.0,7829136,0.178,7339026,0.190,796777,0.723
900,0.2,0.4,4,4,5.0,0.05,2.0,3781900,0.304,4237011,0.272,638513,0.671
900,0.2,0.4,4,4,5.0,0.05,2.0,6003439,0.441,5767305,0.459,2419651,0.732
900,0.2,0.4,4,4,5.0,0.05,2.0,4237597,0.400,4422987,0.384,1050717,0.709
900,0.2,0.4,4,4,5.0,0.05,2.0,6843122,0.233,6543879,0.243,1115820,0.637
900,0.2,0.4,4,4,5.0,0.10,0.1,3671602,0.328,3711538,0.324,1180965,0.694
900,0.2,0.4,4,4,5.0,0.10,0.1,6293088,0.232,7018738,0.208,1483726,0.657
900,0.2,0.4,4,4,5.0,0.10,0.1,7740132,0.286,7769546,0.285,4258115,0.472
900,0.2,0.4,4,4,5.0,0.10,0.1,5527995,0.254,6039887,0.232,1191178,0.669
900,0.2,0.4,4,4,5.0,0.10,0.1,5124532,0.330,5203507,0.325,1864163,0.628
900,0.2,0.4,4,4,5.0,0.10,0.1,5459396,0.255,4685671,0.297,1211900,0.729
900,0.2,0.4,4,4,5.0,0.10,0.1,3598997,0.320,3683923,0.312,1126537,0.667
900,0.2,0.4,4,4,5.0,0.10,0.1,5359766,0.494,5361090,0.494,3001097,0.746
900,0.2,0.4,4,4,5.0,0.10,0.1,4371948,0.388,4407827,0.385,1810369,0.681
900,0.2,0.4,4,4,5.0,0.10,0.1,6252017,0.255,6444255,0.247,1891775,0.626
900,0.2,0.4,4,4,5.0,0.10,0.5,3273379,0.368,3297665,0.365,1058858,0.669
900,0.2,0.4,4,4,5.0,0.10,0.5,7734202,0.189,8021895,0.182,1221335,0.672
900,0.2,0.4,4,4,5.0,0.10,0.5,8248024,0.268,7692924,0.287,3225857,0.494
900,0.2,0.4,4,4,5.0,0.10,0.5,5073947,0.276,5587961,0.251,1031514,0.657
900,0.2,0.4,4,4,5.0,0.10,0.5,5667141,0.298,5570029,0.303,1724172,0.636
900,0.2,0.4,4,4,5.0,0.10,0.5,7123192,0.196,6117076,0.228,1110304,0.716
900,0.2,0.4,4,4,5.0,0.10,0.5,3617121,0.318,4121274,0.279,998368,0.647
900,0.2,0.4,4,4,5.0,0.10,0.5,5831226,0.454,5522557,0.480,2773720,0.743
900,0.2,0.4,4,4,5.0,0.10,0.5,4236643,0.400,4210747,0.403,1575962,0.701
900,0.2,0.4,4,4,5.0,0.10,0.5,5232648,0.304,5398331,0.295,1682910,0.620
900,0.2,0.4,4,4,5.0,0.10,1.0,3262769,0.369,3341032,0.360,895950,0.702
900,0.2,0.4,4,4,5.0,0.10,1.0,8086877,0.180,7960913,0.183,1144731,0.655
900,0.2,0.4,4,4,5.0,0.10,1.0,7360342,0.300,7276001,0.304,3060879,0.475
900,0.2,0.4,4,4,5.0,0.10,1.0,4965237,0.283,5448870,0.257,901880,0.634
900,0.2,0.4,4,4,5.0,0.10,1.0,5966392,0.283,6123645,0.276,1658775,0.632
900,0.2,0.4,4,4,5.0,0.10,1.0,6588693,0.212,6446730,0.216,974011,0.714
900,0.2,0.4,4,4,5.0,0.10,1.0,3437842,0.335,3549387,0.324,811971,0.669
900,0.2,0.4,4,4,5.0,0.10,1.0,6656656,0.398,6366744,0.416,2680767,0.737
900,0.2,0.4,4,4,5.0,0.10,1.0,4154838,0.408,4200324,0.404,1347078,0.700
900,0.2,0.4,4,4,5.0,0.10,1.0,6320293,0.252,6503096,0.245,1427734,0.648
900,0.2,0.4,4,4,5.0,0.10,2.0,3175316,0.379,3385145,0.356,737352,0.668
900,0.2,0.4,4,4,5.0,0.10,2.0,7408955,0.197,6819583,0.214,891878,0.638
900,0.2,0.4,4,4,5.0,0.10,2.0,6956242,0.318,7357609,0.300,2642601,0.473
900,0.2,0.4,4,4,5.0,0.10,2.0,4248964,0.330,4941525,0.284,678640,0.659
900,0.2,0.4,4,4,5.0,0.10,2.0,5153920,0.328,5532727,0.306,1221433,0.668
900,0.2,0.4,4,4,5.0,0.10,2.0,7829136,0.178,7339026,0.190,796777,0.723
900,0.2,0.4,4,4,5.0,0.10,2.0,3781900,0.304,4237011,0.272,638513,0.671
900,0.2,0.4,4,4,5.0,0.10,2.0,6003439,0.441,5767305,0.459,2419651,0.732
900,0.2,0.4,4,4,5.0,0.10,2.0,4237597,0.400,4422987,0.384,1050717,0.709
900,0.2,0.4,4,4,5.0,0.10,2.0,6843122,0.233,6543879,0.243,1115820,0.637
900,0.2,0.4,4,4,5.0,0.50,0.1,3671602,0.328,3711538,0.324,1180965,0.694
900,0.2,0.4,4,4,5.0,0.50,0.1,6293088,0.232,7018738,0.208,1483726,0.657
900,0.2,0.4,4,4,5.0,0.50,0.1,7740132,0.286,7769546,0.285,4258115,0.472
900,0.2,0.4,4,4,5.0,0.50,0.1,5527995,0.254,6039887,0.232,1191178,0.669
900,0.2,0.4,4,4,5.0,0.50,0.1,5124532,0.330,5203507,0.325,1864163,0.628
900,0.2,0.4,4,4,5.0,0.50,0.1,5459396,0.255,4685671,0.297,1211900,0.729
900,0.2,0.4,4,4,5.0,0.50,0.1,3598997,0.320,3683923,0.312,1126537,0.667
900,0.2,0.4,4,4,5.0,0.50,0.1,5359766,0.494,5361090,0.494,3001097,0.746
900,0.2,0.4,4,4,5.0,0.50,0.1,4371948,0.388,4407827,0.385,1810369,0.681
900,0.2,0.4,4,4,5.0,0.50,0.1,6252017,0.255,6444255,0.247,1891775,0.626
900,0.2,0.4,4,4,5.0,0.50,0.5,3273379,0.368,3297665,0.365,1058858,0.669
900,0.2,0.4,4,4,5.0,0.50,0.5,7734202,0.189,8021895,0.182,1221335,0.672
900,0.2,0.4,4,4,5.0,0.50,0.5,8248024,0.268,7692924,0.287,3225857,0.494
900,0.2,0.4,4,4,5.0,0.50,0.5,5073947,0.276,5587961,0.251,1031514,0.657
900,0.2,0.4,4,4,5.0,0.50,0.5,5667141,0.298,5570029,0.303,1724172,0.636
900,0.2,0.4,4,4,5.0,0.50,0.5,7123192,0.196,6117076,0.228,1110304,0.716
900,0.2,0.4,4,4,5.0,0.50,0.5,3617121,0.318,4121274,0.279,998368,0.647
900,0.2,0.4,4,4,5.0,0.50,0.5,5831226,0.454,5522557,0.480,2773720,0.743
900,0.2,0.4,4,4,5.0,0.50,0.5,4236643,0.400,4210747,0.403,1575962,0.701
900,0.2,0.4,4,4,5.0,0.50,0.5,5232648,0.304,5398331,0.295,1682910,0.620
900,0.2,0.4,4,4,5.0,0.50,1.0,3262769,0.369,3341032,0.360,895950,0.702
900,0.2,0.4,4,4,5.0,0.50,1.0,8086877,0.180,7960913,0.183,1144731,0.655
900,0.2,0.4,4,4,5.0,0.50,1.0,7360342,0.300,7276001,0.304,3060879,0.475
900,0.2,0.4,4,4,5.0,0.50,1.0,4965237,0.283,5448870,0.257,901880,0.634
900,0.2,0.4,4,4,5.0,0.50,1.0,5966392,0.283,6123645,0.276,1658775,0.632
900,0.2,0.4,4,4,5.0,0.50,1.0,6588693,0.212,6446730,0.216,974011,0.714
900,0.2,0.4,4,4,5.0,0.50,1.0,3437842,0.335,3549387,0.324,811971,0.669
900,0.2,0.4,4,4,5.0,0.50,1.0,6656656,0.398,6366744,0.416,2680767,0.737
900,0.2,0.4,4,4,5.0,0.50,1.0,4154838,0.408,4200324,0.404,1347078,0.700
900,0.2,0.4,4,4,5.0,0.50,1.0,6320293,0.252,6503096,0.245,1427734,0.648
900,0.2,0.4,4,4,5.0,0.50,2.0,3175316,0.379,3385145,0.356,737352,0.668
900,0.2,0.4,4,4,5.0,0.50,2.0,7408955,0.197,6819583,0.214,891878,0.638
900,0.2,0.4,4,4,5.0,0.50,2.0,6956242,0.318,7357609,0.300,2642601,0.473
900,0.2,0.4,4,4,5.0,0.50,2.0,4248964,0.330,4941525,0.284,678640,0.659
900,0.2,0.4,4,4,5.0,0.50,2.0,5153920,0.328,5532727,0.306,1221433,0.668
900,0.2,0.4,4,4,5.0,0.50,2.0,7829136,0.178,7339026,0.190,796777,0.723
900,0.2,0.4,4,4,5.0,0.50,2.0,3781900,0.304,4237011,0.272,638513,0.671
900,0.2,0.4,4,4,5.0,0.50,2.0,6003439,0.441,5767305,0.459,2419651,0.732
900,0.2,0.4,4,4,5.0,0.50,2.0,4237597,0.400,4422987,0.384,1050717,0.709
900,0.2,0.4,4,4,5.0,0.50,2.0,6843122,0.233,6543879,0.243,1115820,0.637
900,0.2,0.4,4,4,10.0,0.01,0.1,3671602,0.328,3711538,0.324,1037797,0.687
900,0.2,0.4,4,4,10.0,0.01,0.1,6293088,0.232,7018738,0.208,1256537,0.693
900,0.2,0.4,4,4,10.0,0.01,0.1,7740132,0.286,7769546,0.285,3809278,0.462
900,0.2,0.4,4,4,10.0,0.01,0.1,5527995,0.254,6039887,0.232,1106670,0.658
900,0.2,0.4,4,4,10.0,0.01,0.1,5124532,0.330,5203507,0.325,1932188,0.610
900,0.2,0.4,4,4,10.0,0.01,0.1,5459396,0.255,4685671,0.297,1159058,0.730
900,0.2,0.4,4,4,10.0,0.01,0.1,3598997,0.320,3683923,0.312,1014725,0.661
900,0.2,0.4,4,4,10.0,0.01,0.1,5359766,0.494,5361090,0.494,2806472,0.739
900,0.2,0.4,4,4,10.0,0.01,0.1,4371948,0.388,4407827,0.385,1582096,0.699
900,0.2,0.4,4,4,10.0,0.01,0.1,6252017,0.255,6444255,0.247,1489071,0.651
900,0.2,0.4,4,4,10.0,0.01,0.5,3273379,0.368,3297665,0.365,947518,0.666
900,0.2,0.4,4,4,10.0,0.01,0.5,7734202,0.189,8021895,0.182,1140364,0.665
900,0.2,0.4,4,4,10.0,0.01,0.5,8248024,0.268,7692924,0.287,3147019,0.470
900,0.2,0.4,4,4,10.0,0.01,0.5,5073947,0.276,5587961,0.251,950457,0.650
900,0.2,0.4,4,4,10.0,0.01,0.5,5667141,0.298,5570029,0.303,1608162,0.634
900,0.2,0.4,4,4,10.0,0.01,0.5,7123192,0.196,6117076,0.228,1073534,0.712
900,0.2,0.4,4,4,10.0,0.01,0.5,3617121,0.318,4121274,0.279,894788,0.662
900,0.2,0.4,4,4,10.0,0.01,0.5,5831226,0.454,5522557,0.480,2593274,0.746
900,0.2,0.4,4,4,10.0,0.01,0.5,4236643,0.400,4210747,0.403,1384884,0.703
900,0.2,0.4,4,4,10.0,0.01,0.5,5232648,0.304,5398331,0.295,1361395,0.642
900,0.2,0.4,4,4,10.0,0.01,1.0,3262769,0.369,3341032,0.360,854461,0.671
900,0.2,0.4,4,4,10.0,0.01,1.0,8086877,0.180,7960913,0.183,1043190,0.644
900,0.2,0.4,4,4,10.0,0.01,1.0,7360342,0.300,7276001,0.304,2879864,0.476
900,0.2,0.4,4,4,10.0,0.01,1.0,4965237,0.283,5448870,0.257,820697,0.647
900,0.2,0.4,4,4,10.0,0.01,1.0,5966392,0.283,6123645,0.276,1546906,0.619
900,0.2,0.4,4,4,10.0,0.01,1.0,6588693,0.212,6446730,0.216,894919,0.748
900,0.2,0.4,4,4,10.0,0.01,1.0,3437842,0.335,3549387,0.324,757424,0.666
900,0.2,0.4,4,4,10.0,0.01,1.0,6656656,0.398,6366744,0.416,2421074,0.740
900,0.2,0.4,4,4,10.0,0.01,1.0,4154838,0.408,4200324,0.404,1227368,0.704
900,0.2,0.4,4,4,10.0,0.01,1.0,6320293,0.252,6503096,0.245,1176472,0.636
900,0.2,0.4,4,4,10.0,0.01,2.0,3175316,0.379,3385145,0.356,669179,0.685
900,0.2,0.4,4,4,10.0,0.01,2.0,7408955,0.197,6819583,0.214,814909,0.661
900,0.2,0.4,4,4,10.0,0.01,2.0,6956242,0.318,7357609,0.300,2484319,0.483
900,0.2,0.4,4,4,10.0,0.01,2.0,4248964,0.330,4941525,0.284,642650,0.655
900,0.2,0.4,4,4,10.0,0.01,2.0,5153920,0.328,5532727,0.306,1285275,0.627
900,0.2,0.4,4,4,10.0,0.01,2.0,7829136,0.178,7339026,0.190,757162,0.727
900,0.2,0.4,4,4,10.0,0.01,2.0,3781900,0.304,4237011,0.272,605400,0.653
900,0.2,0.4,4,4,10.0,0.01,2.0,6003439,0.441,5767305,0.459,2267511,0.738
900,0.2,0.4,4,4,10.0,0.01,2.0,4237597,0.400,4422987,0.384,976270,0.718
900,0.2,0.4,4,4,10.0,0.01,2.0,6843122,0.233,6543879,0.243,910266,0.655
900,0.2,0.4,4,4,10.0,0.05,0.1,3671602,0.328,3711538,0.324,1037797,0.687
900,0.2,0.4,4,4,10.0,0.05,0.1,6293088,0.232,7018738,0.208,1256537,0.693
900,0.2,0.4,4,4,10.0,0.05,0.1,7740132,0.286,7769546,0.285,3809278,0.462
900,0.2,0.4,4,4,10.0,0.05,0.1,5527995,0.254,6039887,0.232,1106670,0.658
900,0.2,0.4,4,4,10.0,0.05,0.1,5124532,0.330,5203507,0.325,1932188,0.610
900,0.2,0.4,4,4,10.0,0.05,0.1,5459396,0.255,4685671,0.297,1159058,0.730
900,0.2,0.4,4,4,10.0,0.05,0.1,3598997,0.320,3683923,0.312,1014725,0.661
900,0.2,0.4,4,4,10.0,0.05,0.1,5359766,0.494,5361090,0.494,2806472,0.739
900,0.2,0.4,4,4,10.0,0.05,0.1,4371948,0.388,4407827,0.385,1582096,0.699
900,0.2,0.4,4,4,10.0,0.05,0.1,6252017,0.255,6444255,0.247,1489071,0.651
900,0.2,0.4,4,4,10.0,0.05,0.5,3273379,0.368,3297665,0.365,947518,0.666
900,0.2,0.4,4,4,10.0,0.05,0.5,7734202,0.189,8021895,0.182,1140364,0.665
900,0.2,0.4,4,4,10.0,0.05,0.5,8248024,0.268,7692924,0.287,3147019,0.470
900,0.2,0.4,4,4,10.0,0.05,0.5,5073947,0.276,5587961,0.251,950457,0.650
900,0.2,0.4,4,4,10.0,0.05,0.5,5667141,0.298,5570029,0.303,1608162,0.634
900,0.2,0.4,4,4,10.0,0.05,0.5,7123192,0.196,6117076,0.228,1073534,0.712
900,0.2,0.4,4,4,10.0,0.05,0.5,3617121,0.318,4121274,0.279,894788,0.662
900,0.2,0.4,4,4,10.0,0.05,0.5,5831226,0.454,5522557,0.480,2593274,0.746
900,0.2,0.4,4,4,10.0,0.05,0.5,4236643,0.400,4210747,0.403,1384884,0.703
900,0.2,0.4,4,4,10.0,0.05,0.5,5232648,0.304,5398331,0.295,1361395,0.642
900,0.2,0.4,4,4,10.0,0.05,1.0,3262769,0.369,3341032,0.360,854461,0.671
900,0.2,0.4,4,4,10.0,0.05,1.0,8086877,0.180,7960913,0.183,1043190,0.644
900,0.2,0.4,4,4,10.0,0.05,1.0,7360342,0.300,7276001,0.304,2879864,0.476
900,0.2,0.4,4,4,10.0,0.05,1.0,4965237,0.283,5448870,0.257,820697,0.647
900,0.2,0.4,4,4,10.0,0.05,1.0,5966392,0.283,6123645,0.276,1546906,0.619
900,0.2,0.4,4,4,10.0,0.05,1.0,6588693,0.212,6446730,0.216,894919,0.748
900,0.2,0.4,4,4,10.0,0.05,1.0,3437842,0.335,3549387,0.324,757424,0.666
900,0.2,0.4,4,4,10.0,0.05,1.0,6656656,0.398,6366744,0.416,2421074,0.740
900,0.2,0.4,4,4,10.0,0.05,1.0,4154838,0.408,4200324,0.404,1227368,0.704
900,0.2,0.4,4,4,10.0,0.05,1.0,6320293,0.252,6503096,0.245,1176472,0.636
900,0.2,0.4,4,4,10.0,0.05,2.0,3175316,0.379,3385145,0.356,669179,0.685
